group,gender,spk_id,user_id,batch_id,audio_id,sentence,audio,duration_seconds
NF,F,Spk8,U_ecb82da1a5,875_900,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_1,batile ku bena galatia tamukwete insambu ishakutontonkanya ukuti paulo alicindama,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_1_875_900.wav,7.145
NF,F,Spk8,U_ecb82da1a5,875_900,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_2,takuli iciswike kanofye cimo efyalandile pane uwaletutungulula uwasambilila,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_2_875_900.wav,7.99
NF,F,Spk8,U_ecb82da1a5,875_900,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_3,akabemba kakulu kakonkelemo ulubilo ukubwesha inama panshi,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_3_875_900.wav,4.866
NF,F,Spk8,U_ecb82da1a5,875_900,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_4,umuntu umo ashimike ilyashi temukufikapo kwine kwine iyo ilyo namwene ukuti talelikonka,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_4_875_900.wav,8.545
NF,F,Spk8,U_ecb82da1a5,875_900,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_5,caliwemepo kuli ena ukutontonkanya ukuti umukashana takwete inkuntu ukucila ukwishiba icishinka,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_5_875_900.wav,8.225
NF,F,Spk8,U_ecb82da1a5,875_900,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_6,yangu shikulu efyalandile missus poyser ninshi natinishiwa tekuti ucitemwe nangu panoono,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_6_875_900.wav,9.364
NF,F,Spk8,U_ecb82da1a5,875_900,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_7,nomba abikile ukuboko kwakwe pa kuboko kwakwe kabili amwentula no kutila,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_7_875_900.wav,7.145
NF,F,Spk8,U_ecb82da1a5,875_900,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_8,chingachgook alikete imimonekele kabili ukubomfya ifishibisho fya kumaboko amwishibishe ukuti alande,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_8_875_900.wav,8.777
NF,F,Spk8,U_ecb82da1a5,875_900,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_9,kulya kulya efyo alandile mukunashanasha alepampansha pa mutwe wa kwa brown fuzzy,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_9_875_900.wav,7.639
NF,F,Spk8,U_ecb82da1a5,875_900,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_10,afyontweke ngo mufwi ukupita mu fubumba fyonse imitanto yonse iya ng'anda kabili ukupita mu mumusolo,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_10_875_900.wav,9.938
NF,F,Spk8,U_ecb82da1a5,875_900,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_11,alefwaya ukwambila pa muulu wa mutanto,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_11_875_900.wav,3.17
NF,F,Spk8,U_ecb82da1a5,875_900,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_12,humpy dumpy aliponene pa mitanto ya ng'anda lelo aupile namfumu,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_12_875_900.wav,5.885
NF,F,Spk8,U_ecb82da1a5,875_900,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_13,ngefyo alaile ukucingilila ing'anda ya beni abekashi ba musumba abaebekishiwe ku mashiwi yakwe batendeke ukuiseka pafyo batinine,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_13_875_900.wav,14.292
NF,F,Spk8,U_ecb82da1a5,875_900,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_14,ulubansa lwa kotoni ulwakwete impela shatwa lwali mupepi no kupulika,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_14_875_900.wav,6.37
NF,F,Spk8,U_ecb82da1a5,875_900,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_15,ruth aikeele ukwabula ukusela pa nshita ntali  ne cinso cakwe cili icashininkisha kabili acifumishe califumine nomba,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_15_875_900.wav,10.519
NF,F,Spk8,U_ecb82da1a5,875_900,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_16,bushe waishile lisa bartley kabili cacitike shani taulandilepo ishiwi nangu limo,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_16_875_900.wav,7.454
NF,F,Spk8,U_ecb82da1a5,875_900,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_17,nshalemona kalume wandi naicena kanabesa pa kubomba imilimo yakwe nga umo pa baana ba kwa cumberland,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_17_875_900.wav,9.509
NF,F,Spk8,U_ecb82da1a5,875_900,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_18,nga ndeyumfwa muli iyo nshila ndeyumfwa muli iyo nshila,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_18_875_900.wav,4.481
NF,F,Spk8,U_ecb82da1a5,875_900,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_19,mwe fibusa efyalandile montfichet mwishiwi ilinoono ku baleshombokana tushindikeni ukutufisha pa ng'anda ya mukalamba ya bakapokola,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_19_875_900.wav,11.765
NF,F,Spk8,U_ecb82da1a5,875_900,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_20,lelo nshaishibe ukuti walanjebafye pali nomba,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_20_875_900.wav,3.692
NF,F,Spk8,U_ecb82da1a5,875_900,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_21,bracton muntu umusuma saana ndeshininkisha kuli iwe,Bemba_NF_Spk8_U_ecb82da1a5_Utterance_21_875_900.wav,4.481
