group,gender,spk_id,user_id,batch_id,audio_id,sentence,audio,duration_seconds
NNF,F,Spk10,U_ad1303a770,450_475,Bemba_NF_Spk10_U_ad1303a770_Utterance_1,ukuyumfwa ukwa buntungwa kabili nali uwaibukila kulya,Bemba_NF_Spk10_U_ad1303a770_Utterance_1_450_475.wav,5.19
NNF,F,Spk10,U_ad1303a770,450_475,Bemba_NF_Spk10_U_ad1303a770_Utterance_2,tapali icali no kucitwa lelo ukupilibuka no kubwelelamo ku kapinda ka kukulyo mukulanguluka,Bemba_NF_Spk10_U_ad1303a770_Utterance_2_450_475.wav,8.626
NNF,F,Spk10,U_ad1303a770,450_475,Bemba_NF_Spk10_U_ad1303a770_Utterance_3,kabili emulandu wine kenneth na beth bamusangile alelanshanya na kanakashi wacaice muli kamotoka,Bemba_NF_Spk10_U_ad1303a770_Utterance_3_450_475.wav,8.719
NNF,F,Spk10,U_ad1303a770,450_475,Bemba_NF_Spk10_U_ad1303a770_Utterance_4,hilda alimutambile ukufuma ku kona aletutuma kabili alefilwa ukupeema ifinshingwa fyafita fileisa pa menso yakwe,Bemba_NF_Spk10_U_ad1303a770_Utterance_4_450_475.wav,10.67
NNF,F,Spk10,U_ad1303a770,450_475,Bemba_NF_Spk10_U_ad1303a770_Utterance_5,nunshafye amaluba ya mpanga yalanunkila bwino lyonse pa numa ya mfula,Bemba_NF_Spk10_U_ad1303a770_Utterance_5_450_475.wav,6.757
NNF,F,Spk10,U_ad1303a770,450_475,Bemba_NF_Spk10_U_ad1303a770_Utterance_6,pushi abulwime panoono atoola inama ku kanwa no kubutukila mu mpanga mukuilya,Bemba_NF_Spk10_U_ad1303a770_Utterance_6_450_475.wav,8.591
NNF,F,Spk10,U_ad1303a770,450_475,Bemba_NF_Spk10_U_ad1303a770_Utterance_7,icipe cesu casendelwe apo peene ukutwalwa ku bwato nalibutwike ukuyanina,Bemba_NF_Spk10_U_ad1303a770_Utterance_7_450_475.wav,7.5
NNF,F,Spk10,U_ad1303a770,450_475,Bemba_NF_Spk10_U_ad1303a770_Utterance_8,bushe nawishiba nacitontonkanya ukushana panoono buno bushiku pa muku wakubalilapo,Bemba_NF_Spk10_U_ad1303a770_Utterance_8_450_475.wav,7.79
NNF,F,Spk10,U_ad1303a770,450_475,Bemba_NF_Spk10_U_ad1303a770_Utterance_9,pa muulu mu muputule wakulwalilamo zora aleele pa kamusengele kabuuta,Bemba_NF_Spk10_U_ad1303a770_Utterance_9_450_475.wav,7.349
NNF,F,Spk10,U_ad1303a770,450_475,Bemba_NF_Spk10_U_ad1303a770_Utterance_10,angufyanya angufyanya lyena pa kati pa muulu wa cani camatete efyalandile montalais ibila athenais uli mutali saana,Bemba_NF_Spk10_U_ad1303a770_Utterance_10_450_475.wav,12.562
NNF,F,Spk10,U_ad1303a770,450_475,Bemba_NF_Spk10_U_ad1303a770_Utterance_11,pa muulu wa cimuti cacincindu pali bapilamidi batatu abapangwa na matipa yafiita,Bemba_NF_Spk10_U_ad1303a770_Utterance_11_450_475.wav,8.719
NNF,F,Spk10,U_ad1303a770,450_475,Bemba_NF_Spk10_U_ad1303a770_Utterance_12,ee ee efyo acincile aletinta ukuboko mukunakilila ukufumya kuli ena,Bemba_NF_Spk10_U_ad1303a770_Utterance_12_450_475.wav,7.721
