group,gender,spk_id,user_id,batch_id,audio_id,sentence,audio,duration_seconds
NNM,M,Spk10,U_e71ac57461,950_975,Bemba_NNM_Spk10_U_e71ac57461_Utterance_1,wisakamana sizzle wemutemwikwa fikapita  fyonse nomba line,Bemba_NNM_Spk10_U_e71ac57461_Utterance_1_950_975.wav,4.528
NNM,M,Spk10,U_e71ac57461,950_975,Bemba_NNM_Spk10_U_e71ac57461_Utterance_2,isa isa ninaka saana ukufumapo kobe,Bemba_NNM_Spk10_U_e71ac57461_Utterance_2_950_975.wav,3.425
NNM,M,Spk10,U_e71ac57461,950_975,Bemba_NNM_Spk10_U_e71ac57461_Utterance_3,mukushipa kabili mukuipelesha alindwila ubulwikabili ici na fimbipo nshakatiine,Bemba_NNM_Spk10_U_e71ac57461_Utterance_3_950_975.wav,7.221
NNM,M,Spk10,U_e71ac57461,950_975,Bemba_NNM_Spk10_U_e71ac57461_Utterance_4,ubu ubwishibilo cibukisho munshila imo munshila imbi te cibukisho,Bemba_NNM_Spk10_U_e71ac57461_Utterance_4_950_975.wav,6.049
NNM,M,Spk10,U_e71ac57461,950_975,Bemba_NNM_Spk10_U_e71ac57461_Utterance_5,ilyo imfumu yaisa mu calo bonse balabilikisha abati vive le roi,Bemba_NNM_Spk10_U_e71ac57461_Utterance_5_950_975.wav,6.281
NNM,M,Spk10,U_e71ac57461,950_975,Bemba_NNM_Spk10_U_e71ac57461_Utterance_6,balanda abati ulubuto lupangwa na kandulo e lubuto lwawamisha mu calo,Bemba_NNM_Spk10_U_e71ac57461_Utterance_6_950_975.wav,6.444
NNM,M,Spk10,U_e71ac57461,950_975,Bemba_NNM_Spk10_U_e71ac57461_Utterance_7,icilumba cendela pamo na cilya cikope cakile mukushibata camwibukishe umucinshi ubwe ofeshi akene,Bemba_NNM_Spk10_U_e71ac57461_Utterance_7_950_975.wav,13.235
NNM,M,Spk10,U_e71ac57461,950_975,Bemba_NNM_Spk10_U_e71ac57461_Utterance_8,ndelanda nati nawishiba ifyo ifi filepilibula kabili ufwile ukutweba,Bemba_NNM_Spk10_U_e71ac57461_Utterance_8_950_975.wav,6.258
NNM,M,Spk10,U_e71ac57461,950_975,Bemba_NNM_Spk10_U_e71ac57461_Utterance_9,bartley atampile ilyo hilda alishishe ka belu kanoono akaali ku mbali yakwe yangu ine mulandu nshi wacicitila ifyo,Bemba_NNM_Spk10_U_e71ac57461_Utterance_9_950_975.wav,12.632
NNM,M,Spk10,U_e71ac57461,950_975,Bemba_NNM_Spk10_U_e71ac57461_Utterance_10,alemoneka kwati afwaya ukusekesha abantu ukwabula ukwiluka amaka akwete,Bemba_NNM_Spk10_U_e71ac57461_Utterance_10_950_975.wav,7.012
NNM,M,Spk10,U_e71ac57461,950_975,Bemba_NNM_Spk10_U_e71ac57461_Utterance_11,ndemona ninshi ndekwafwilisha nga nakufumya mu ncende ya musango uyu,Bemba_NNM_Spk10_U_e71ac57461_Utterance_11_950_975.wav,6.827
NNM,M,Spk10,U_e71ac57461,950_975,Bemba_NNM_Spk10_U_e71ac57461_Utterance_12,ndalikeni pali beti yenu yatalala kabili nsheni mwekusanika kwandi ukwingi,Bemba_NNM_Spk10_U_e71ac57461_Utterance_12_950_975.wav,7.593
NNM,M,Spk10,U_e71ac57461,950_975,Bemba_NNM_Spk10_U_e71ac57461_Utterance_13,umfwikishe aya mashiwi pantu nayesulamo icisansamushi a kampingu wacenwa,Bemba_NNM_Spk10_U_e71ac57461_Utterance_13_950_975.wav,6.281
NNM,M,Spk10,U_e71ac57461,950_975,Bemba_NNM_Spk10_U_e71ac57461_Utterance_14,kwati ni shikulu wacaice nangu cakuti ndi mwaume umukote,Bemba_NNM_Spk10_U_e71ac57461_Utterance_14_950_975.wav,11.726
NNM,M,Spk10,U_e71ac57461,950_975,Bemba_NNM_Spk10_U_e71ac57461_Utterance_15,ulemoneka kwati nausakamana yama wandi ukubalolekesha mukutwalilila na ikalshi lyabo lili pa menso nabasakamana,Bemba_NNM_Spk10_U_e71ac57461_Utterance_15_950_975.wav,4.18
NNM,M,Spk10,U_e71ac57461,950_975,Bemba_NNM_Spk10_U_e71ac57461_Utterance_16,abantu tabafwile ukutunganya ifyo lesa aba,Bemba_NNM_Spk10_U_e71ac57461_Utterance_16_950_975.wav,6.119
NNM,M,Spk10,U_e71ac57461,950_975,Bemba_NNM_Spk10_U_e71ac57461_Utterance_17,elyo apwishishishe alexander asantamwike ukufuma mumantontonkanyo,Bemba_NNM_Spk10_U_e71ac57461_Utterance_17_950_975.wav,8.266
NNM,M,Spk10,U_e71ac57461,950_975,Bemba_NNM_Spk10_U_e71ac57461_Utterance_18,ama awala yapitile no kunaka ukwingi kabili ukusela kuti kwaumfwika pa cibumba,Bemba_NNM_Spk10_U_e71ac57461_Utterance_18_950_975.wav,8.104
NNM,M,Spk10,U_e71ac57461,950_975,Bemba_NNM_Spk10_U_e71ac57461_Utterance_19,ubushiku bumo na bumo bwaliikwatila ifikalipwa fya mutima nelyo ifishikamika saana,Bemba_NNM_Spk10_U_e71ac57461_Utterance_19_950_975.wav,11.749
NNM,M,Spk10,U_e71ac57461,950_975,Bemba_NNM_Spk10_U_e71ac57461_Utterance_20,aleemeka kabili alemwentula elyo aponya kadi mukufulunganishiwa ilyo ashilabutikila pa muulu ya mitanto,Bemba_NNM_Spk10_U_e71ac57461_Utterance_20_950_975.wav,6.734
NNM,M,Spk10,U_e71ac57461,950_975,Bemba_NNM_Spk10_U_e71ac57461_Utterance_21,ninshininkisha alexandria alesubila walaikala pano efyo ang'wintile,Bemba_NNM_Spk10_U_e71ac57461_Utterance_21_950_975.wav,8.51
NNM,M,Spk10,U_e71ac57461,950_975,Bemba_NNM_Spk10_U_e71ac57461_Utterance_22,ukuyumfwa kwabo ukwapala ukwa mbushi shilelwa kwabilimwike ilyo bakumanishe ukubasansa,Bemba_NNM_Spk10_U_e71ac57461_Utterance_22_950_975.wav,12.725
