group,gender,spk_id,user_id,batch_id,audio_id,sentence,audio,duration_seconds
NM,M,Spk4,U_9392e120e7,150_175,Nyanja_NM_Spk4_U_9392e120e7_Utterance_1,pa nali pa kona pemene anagona pakati pa zomera zosayenera ndi maluwa a minga,Nyanja_NM_Spk4_U_9392e120e7_Utterance_1_150_175.wav,9.14
NM,M,Spk4,U_9392e120e7,150_175,Nyanja_NM_Spk4_U_9392e120e7_Utterance_2,sindingakhale odabwa kuti angathe kuseka nndi ine pali nthawi ino,Nyanja_NM_Spk4_U_9392e120e7_Utterance_2_150_175.wav,8.39
NM,M,Spk4,U_9392e120e7,150_175,Nyanja_NM_Spk4_U_9392e120e7_Utterance_3,iye anali pan'gono kuiwalako kuti cinali pafupi ndi poonekera,Nyanja_NM_Spk4_U_9392e120e7_Utterance_3_150_175.wav,8.001
NM,M,Spk4,U_9392e120e7,150_175,Nyanja_NM_Spk4_U_9392e120e7_Utterance_4,azibambo nonsenu bwelerani  ku maalo kumene mukugwirira nchito pamene saint aigani ndi villeroy anali kupita,Nyanja_NM_Spk4_U_9392e120e7_Utterance_4_150_175.wav,12.545
NM,M,Spk4,U_9392e120e7,150_175,Nyanja_NM_Spk4_U_9392e120e7_Utterance_5,momwemo sire koma ndiyenera kukhala ndi ndalama zocitila zomwezo,Nyanja_NM_Spk4_U_9392e120e7_Utterance_5_150_175.wav,8.375
NM,M,Spk4,U_9392e120e7,150_175,Nyanja_NM_Spk4_U_9392e120e7_Utterance_6,ici ciyenera kupita patali mukulekatsa atumwi aboza  kulankhula,Nyanja_NM_Spk4_U_9392e120e7_Utterance_6_150_175.wav,8.66
NM,M,Spk4,U_9392e120e7,150_175,Nyanja_NM_Spk4_U_9392e120e7_Utterance_7,uyu ndiye amene anacita zosayenera kulingana ndi nkhani yothawa,Nyanja_NM_Spk4_U_9392e120e7_Utterance_7_150_175.wav,6.875
NM,M,Spk4,U_9392e120e7,150_175,Nyanja_NM_Spk4_U_9392e120e7_Utterance_8,ndinali kuganiza kuti mwina mlongo wanga kate mwina msuweni wanga maiko ali kunvana,Nyanja_NM_Spk4_U_9392e120e7_Utterance_8_150_175.wav,10.19
NM,M,Spk4,U_9392e120e7,150_175,Nyanja_NM_Spk4_U_9392e120e7_Utterance_9,kodi ndi miyendo ya yani imene ili ngati miyenda ya phunzi pansi pace ngati manja ya muyayayaya,Nyanja_NM_Spk4_U_9392e120e7_Utterance_9_150_175.wav,11.0
NM,M,Spk4,U_9392e120e7,150_175,Nyanja_NM_Spk4_U_9392e120e7_Utterance_10,kodi uganiza kuti mulungu cifukwa ca ma calichi otsutsa chalichi ya lutheran (a chikunja) ochepa angathe ku kaana ndi chalichi yake yonse,Nyanja_NM_Spk4_U_9392e120e7_Utterance_10_150_175.wav,15.485
NM,M,Spk4,U_9392e120e7,150_175,Nyanja_NM_Spk4_U_9392e120e7_Utterance_11,anali kuyendayenda mozungulira mu cipinda cace,Nyanja_NM_Spk4_U_9392e120e7_Utterance_11_150_175.wav,7.34
NM,M,Spk4,U_9392e120e7,150_175,Nyanja_NM_Spk4_U_9392e120e7_Utterance_12,m'cipinda muno ndi mothuma kwambiri kotero kuti sitingathe kuimbiramo kodi simuli kunva kuthumako,Nyanja_NM_Spk4_U_9392e120e7_Utterance_12_150_175.wav,10.82
NM,M,Spk4,U_9392e120e7,150_175,Nyanja_NM_Spk4_U_9392e120e7_Utterance_13,kulingana ndi kukhulupilira kwanga iwowa anatengedwa,Nyanja_NM_Spk4_U_9392e120e7_Utterance_13_150_175.wav,9.08
