group,gender,spk_id,user_id,batch_id,audio_id,sentence,audio,duration_seconds
NF,F,Spk7,U_4650715fbd,800_825,Nyanja_NF_Spk7_U_4650715fbd_Utterance_1,nthawi imene anali kumwa tiii anali osakondwa ndipo analinso cete kotero kuti cakudya cinangopita cosagwirida/cosadyedwa ndi wina mwa iwo atatu,Nyanja_NF_Spk7_U_4650715fbd_Utterance_1_800_825.wav,33.708
NF,F,Spk7,U_4650715fbd,800_825,Nyanja_NF_Spk7_U_4650715fbd_Utterance_2,ndipo izi zonse zizatsatira ukapolo wanu mu njira imodzi-modzi,Nyanja_NF_Spk7_U_4650715fbd_Utterance_2_800_825.wav,10.875
NF,F,Spk7,U_4650715fbd,800_825,Nyanja_NF_Spk7_U_4650715fbd_Utterance_3,koma ngati zili tero kusankha kwa amuna kwa mai milner sikuzapangitsa ine kusanka anga,Nyanja_NF_Spk7_U_4650715fbd_Utterance_3_800_825.wav,10.322
NF,F,Spk7,U_4650715fbd,800_825,Nyanja_NF_Spk7_U_4650715fbd_Utterance_4,tsika iwe khumbi laling'ono ndipo ukhale mumlengalenga pa maso pa thelo,Nyanja_NF_Spk7_U_4650715fbd_Utterance_4_800_825.wav,7.738
NF,F,Spk7,U_4650715fbd,800_825,Nyanja_NF_Spk7_U_4650715fbd_Utterance_5,atagwiridwa ndi za kumtima kwace leocadi anapanga cizindikiro ku makolo ace kuti iye anafunisisa kuti akhale nao ekha,Nyanja_NF_Spk7_U_4650715fbd_Utterance_5_800_825.wav,15.982
NF,F,Spk7,U_4650715fbd,800_825,Nyanja_NF_Spk7_U_4650715fbd_Utterance_6,sitero mosiyana ndi zimene muganiza ndinu amene mubvomerezana kwambiri ndi ine,Nyanja_NF_Spk7_U_4650715fbd_Utterance_6_800_825.wav,8.782
NF,F,Spk7,U_4650715fbd,800_825,Nyanja_NF_Spk7_U_4650715fbd_Utterance_7,atsilikari anapeza anthu mu umphawi nawasiya ndi cuuma ca mbiri,Nyanja_NF_Spk7_U_4650715fbd_Utterance_7_800_825.wav,7.601
NF,F,Spk7,U_4650715fbd,800_825,Nyanja_NF_Spk7_U_4650715fbd_Utterance_8,kapitawo martini anati ndizakupatsa mfuti yaing'ono kuti ikuthandize kuziteteza ngati zinthu zafika pobvuta,Nyanja_NF_Spk7_U_4650715fbd_Utterance_8_800_825.wav,9.411
NF,F,Spk7,U_4650715fbd,800_825,Nyanja_NF_Spk7_U_4650715fbd_Utterance_9,ndithudi zimene sizingatheke ndi kukhala opanda mantha pa nkhondo ziyenera kucitidwa mozungulila adani,Nyanja_NF_Spk7_U_4650715fbd_Utterance_9_800_825.wav,51.376
NF,F,Spk7,U_4650715fbd,800_825,Nyanja_NF_Spk7_U_4650715fbd_Utterance_10,akaucita zinthu ngati mwina sanali kutiyembekezera,Nyanja_NF_Spk7_U_4650715fbd_Utterance_10_800_825.wav,5.321
NF,F,Spk7,U_4650715fbd,800_825,Nyanja_NF_Spk7_U_4650715fbd_Utterance_11,ali kucita ngati mwina sanali kutiyembekezera,Nyanja_NF_Spk7_U_4650715fbd_Utterance_11_800_825.wav,4.916
NF,F,Spk7,U_4650715fbd,800_825,Nyanja_NF_Spk7_U_4650715fbd_Utterance_12,ndikuopa poti pano palibe zizindikiro zace,Nyanja_NF_Spk7_U_4650715fbd_Utterance_12_800_825.wav,4.31
NF,F,Spk7,U_4650715fbd,800_825,Nyanja_NF_Spk7_U_4650715fbd_Utterance_13,bwato idakwedzedwa pa maphiri a madzi naponyedwa pansi pa mtunda wa ma fathomu makhumi awiri,Nyanja_NF_Spk7_U_4650715fbd_Utterance_13_800_825.wav,10.407
NF,F,Spk7,U_4650715fbd,800_825,Nyanja_NF_Spk7_U_4650715fbd_Utterance_14,akazi ace anaikidwa pa mbali yamanda ace ndipo ci malata coyera cimene adalembapo zodziwitsira manda ao cimaoneka mong'animira m'minda ya tiligu,Nyanja_NF_Spk7_U_4650715fbd_Utterance_14_800_825.wav,18.505
NF,F,Spk7,U_4650715fbd,800_825,Nyanja_NF_Spk7_U_4650715fbd_Utterance_15,mwina dinso ya mphatso ndi cifundo kuwonetsa zipatso ndi golide opangidwa,Nyanja_NF_Spk7_U_4650715fbd_Utterance_15_800_825.wav,8.479
NF,F,Spk7,U_4650715fbd,800_825,Nyanja_NF_Spk7_U_4650715fbd_Utterance_16,kambirimbiri ndinali kunva iye akulankhula pa inu mu njira imodzi-modziyi,Nyanja_NF_Spk7_U_4650715fbd_Utterance_16_800_825.wav,7.844
NF,F,Spk7,U_4650715fbd,800_825,Nyanja_NF_Spk7_U_4650715fbd_Utterance_17,mbuya wanga kalawidwe k/zosanka za mai milner sizoipa koma ndi zabwino/kwabwino kopoosa,Nyanja_NF_Spk7_U_4650715fbd_Utterance_17_800_825.wav,9.011
NF,F,Spk7,U_4650715fbd,800_825,Nyanja_NF_Spk7_U_4650715fbd_Utterance_18,iye anali ndi mtima wabwino ndipo wacikondi anatero beti ndipo ku khala mcikondi naye sicinaletse kuona/kuwerenga zoipa zimene angacite,Nyanja_NF_Spk7_U_4650715fbd_Utterance_18_800_825.wav,13.814
NF,F,Spk7,U_4650715fbd,800_825,Nyanja_NF_Spk7_U_4650715fbd_Utterance_19,mwadzidzidzi gulu la ichthyosaurus ndi plesiosarus inangosowa pansipo itangosiya kabvumba/msokonezo ukuoneka m'madzi,Nyanja_NF_Spk7_U_4650715fbd_Utterance_19_800_825.wav,15.079
NF,F,Spk7,U_4650715fbd,800_825,Nyanja_NF_Spk7_U_4650715fbd_Utterance_20,unali utalankhula za zoona pamene siunabvomereze ambrose anayamba usamakoka ndi yohane jago fodya wace uzakupha,Nyanja_NF_Spk7_U_4650715fbd_Utterance_20_800_825.wav,14.83
NF,F,Spk7,U_4650715fbd,800_825,Nyanja_NF_Spk7_U_4650715fbd_Utterance_21,watisoni ndakhala ndikukucitila coipa/cosayenera  nthawi zonse alipo ena,Nyanja_NF_Spk7_U_4650715fbd_Utterance_21_800_825.wav,6.273
NF,F,Spk7,U_4650715fbd,800_825,Nyanja_NF_Spk7_U_4650715fbd_Utterance_22,ndicinthu cosayeenera kunena zambiri za iwo pano,Nyanja_NF_Spk7_U_4650715fbd_Utterance_22_800_825.wav,5.13
NF,F,Spk7,U_4650715fbd,800_825,Nyanja_NF_Spk7_U_4650715fbd_Utterance_23,koma kuli nkhokwe atate ngati angafune kuigwiritsa nchito,Nyanja_NF_Spk7_U_4650715fbd_Utterance_23_800_825.wav,6.414
NF,F,Spk7,U_4650715fbd,800_825,Nyanja_NF_Spk7_U_4650715fbd_Utterance_24,holmes anaigwira poyera m'manja mwace pomwe panali kufika kuwala kwa magetsi,Nyanja_NF_Spk7_U_4650715fbd_Utterance_24_800_825.wav,8.352
NF,F,Spk7,U_4650715fbd,800_825,Nyanja_NF_Spk7_U_4650715fbd_Utterance_25,iye anapenya pamwambapo mosakondwera nawauza kuti akhale pansi,Nyanja_NF_Spk7_U_4650715fbd_Utterance_25_800_825.wav,7.469
NF,F,Spk7,U_4650715fbd,825_850,Nyanja_NF_Spk7_U_4650715fbd_Utterance_1,ndinaonapo mitunndi ndi mitundu ya zimenezo mu umoyo wanga,Nyanja_NF_Spk7_U_4650715fbd_Utterance_1_825_850.wav,6.35
NF,F,Spk7,U_4650715fbd,825_850,Nyanja_NF_Spk7_U_4650715fbd_Utterance_2,ndinenetsa sindizapita kutali kweni kweni koma pa atatuwa iye ndiye amane siangathe,Nyanja_NF_Spk7_U_4650715fbd_Utterance_2_825_850.wav,8.506
NF,F,Spk7,U_4650715fbd,825_850,Nyanja_NF_Spk7_U_4650715fbd_Utterance_3,koma pa nthawi imeneyo mu nmadzi amene ali ndi mphanvu cinali cosatheka kuthala pansi,Nyanja_NF_Spk7_U_4650715fbd_Utterance_3_825_850.wav,9.92
NF,F,Spk7,U_4650715fbd,825_850,Nyanja_NF_Spk7_U_4650715fbd_Utterance_4,ici mzanga iwe tenga ndipo anaciponya m'manja mwa mlimi,Nyanja_NF_Spk7_U_4650715fbd_Utterance_4_825_850.wav,5.016
NF,F,Spk7,U_4650715fbd,825_850,Nyanja_NF_Spk7_U_4650715fbd_Utterance_5,kodi unawaona ma pepala awa pa thebulo,Nyanja_NF_Spk7_U_4650715fbd_Utterance_5_825_850.wav,3.669
NF,F,Spk7,U_4650715fbd,825_850,Nyanja_NF_Spk7_U_4650715fbd_Utterance_6,ndizanene kwa iye kuti andipatsek koffi ngati ndi yabwino,Nyanja_NF_Spk7_U_4650715fbd_Utterance_6_825_850.wav,5.062
NF,F,Spk7,U_4650715fbd,825_850,Nyanja_NF_Spk7_U_4650715fbd_Utterance_7,osati golide kapena siliva kapena nkhosa kapena mngelo koma iye mwini ndi zaciani,Nyanja_NF_Spk7_U_4650715fbd_Utterance_7_825_850.wav,7.628
NF,F,Spk7,U_4650715fbd,825_850,Nyanja_NF_Spk7_U_4650715fbd_Utterance_8,bwezani okupelekezani robini ndipo mundisanzike e e e n,Nyanja_NF_Spk7_U_4650715fbd_Utterance_8_825_850.wav,5.991
NF,F,Spk7,U_4650715fbd,825_850,Nyanja_NF_Spk7_U_4650715fbd_Utterance_9,kuli ndondomeko yaikulu kapena ya ing'ono mogwirizana ndi ma lanki/nthepe  ndi ma giledi,Nyanja_NF_Spk7_U_4650715fbd_Utterance_9_825_850.wav,7.964
NF,F,Spk7,U_4650715fbd,825_850,Nyanja_NF_Spk7_U_4650715fbd_Utterance_10,kumangotsala pang'ono kuganiza kuti ndizakumbukira  ntangonvera kusiyana pang'ono,Nyanja_NF_Spk7_U_4650715fbd_Utterance_10_825_850.wav,8.75
NF,F,Spk7,U_4650715fbd,825_850,Nyanja_NF_Spk7_U_4650715fbd_Utterance_11,ndipo ndizazigulira famu ndipo ndizalima pa malowo tsopano ndaniazanditsatira,Nyanja_NF_Spk7_U_4650715fbd_Utterance_11_825_850.wav,6.365
NF,F,Spk7,U_4650715fbd,825_850,Nyanja_NF_Spk7_U_4650715fbd_Utterance_12,ku mpoto ndi ku m'mwela zinakambidwa kale kodi ncifukwa ninji sikungaikidwenso ku m'madzulo,Nyanja_NF_Spk7_U_4650715fbd_Utterance_12_825_850.wav,7.988
NF,F,Spk7,U_4650715fbd,825_850,Nyanja_NF_Spk7_U_4650715fbd_Utterance_13,kuzitukumula kwace atakwanilitsa kunapangitsa kuti aikidwe pa mwamba mwapang'ono pang'ono ngati mabala (malawi) amadzi,Nyanja_NF_Spk7_U_4650715fbd_Utterance_13_825_850.wav,14.795
NF,F,Spk7,U_4650715fbd,825_850,Nyanja_NF_Spk7_U_4650715fbd_Utterance_14,pearl ataona thengo ya maluwa anayamba kulira pofuna duwa lofilira ndipo sanathe kunyengereredwa,Nyanja_NF_Spk7_U_4650715fbd_Utterance_14_825_850.wav,10.495
NF,F,Spk7,U_4650715fbd,825_850,Nyanja_NF_Spk7_U_4650715fbd_Utterance_15,iimfa yace yace mu izi zonse inali cinthu conetsa cisoni,Nyanja_NF_Spk7_U_4650715fbd_Utterance_15_825_850.wav,5.457
