group,gender,spk_id,user_id,batch_id,audio_id,sentence,audio,duration_seconds
NNF,F,Spk9,U_0560b45fcd,425_450,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_1,paulo anyadira mpingo wace osati cifukwa ca kuyamikidwa kwace koma kuyamikidwa kwa ambuye,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_1_425_450.wav,6.548
NNF,F,Spk9,U_0560b45fcd,425_450,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_2,koma sindinu munthuamene adziwa kukonda  okendedwa wanga,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_2_425_450.wav,4.598
NNF,F,Spk9,U_0560b45fcd,425_450,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_3,alexander anaima nazigwedeza mokwiiya inde ndiziwa kuti ndine wamantha,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_3_425_450.wav,6.966
NNF,F,Spk9,U_0560b45fcd,425_450,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_4,oopani inu cifukwa ndizatsowa ndipo simuzandionanso,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_4_425_450.wav,4.563
NNF,F,Spk9,U_0560b45fcd,425_450,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_5,sungani mau anga muzamupeza ali olimba koposa kwa iwe aye ndipo wakuya kwambiri,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_5_425_450.wav,5.851
NNF,F,Spk9,U_0560b45fcd,425_450,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_6,khalani m'malo mwanu ndipo tione  cimene galasi litha kukuonetsani,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_6_425_450.wav,4.667
NNF,F,Spk9,U_0560b45fcd,425_450,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_7,mungathe kuyamba ndi kunyamula ndodo ndikulemba ma numbala,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_7_425_450.wav,4.667
NNF,F,Spk9,U_0560b45fcd,425_450,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_8,ndinali wofulumira kuti ndibwere kwa iwe wasiya citseko cako cosakhomedwa,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_8_425_450.wav,6.081
NNF,F,Spk9,U_0560b45fcd,425_450,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_9,ino tsopano ndi nthawi ya mpepo kunja kwa zitseko unaganiza mtengo,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_9_425_450.wav,4.772
NNF,F,Spk9,U_0560b45fcd,425_450,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_10,pamene ndinali munyamata wa cicepeele ndinali kuganiza kuti paulo anali kucita/kupanga zambiri mu utumiki wace,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_10_425_450.wav,4.191
NNF,F,Spk9,U_0560b45fcd,425_450,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_11,ndi zimenezi zomwe ndikukupempha kuti usinthe pa zooipa zimene wandicita,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_11_425_450.wav,5.108
NNF,F,Spk9,U_0560b45fcd,425_450,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_12,nthawi yonseyo imene ali kulankhula naine maso ake ang'ono-ang'ono ndiponso okwiya anali kundisata,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_12_425_450.wav,4.563
NNF,F,Spk9,U_0560b45fcd,425_450,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_13,ndikhumba kuti sindinalire kwambiri anatero alice ali kusambira pofuna kupeza pocookera,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_13_425_450.wav,5.108
NNF,F,Spk9,U_0560b45fcd,425_450,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_14,wokondedwa wanga ndiphunzitseko kukhala munthuoyamikira momwe iwe umacitira zabwino,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_14_425_450.wav,7.221
NNF,F,Spk9,U_0560b45fcd,425_450,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_15,ukali wa mzangayo sunacepelere kucokera pomwe analetsedwa kupezeka ku malo omwe iye anakondetsetsa omwe anali pafupi ndi kanjira kocedwa baker,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_15_425_450.wav,6.859
NNF,F,Spk9,U_0560b45fcd,425_450,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_16,ananvera kunjenjemera kwa cinthu cimene cinali cikuthamanga camaonekedwe a cikasu patsogoro pace,Nyanja_NNF_Spk9_U_0560b45fcd_Utterance_16_425_450.wav,6.246
