group,gender,spk_id,user_id,batch_id,audio_id,sentence,audio,duration_seconds
NNM,M,Spk5,U_fbd78a4b87,725_750,Nyanja_NNM_Spk5_U_fbd78a4b87_Utterance_1,alexander anawelama capatsogoro na thumitsa manja ake ku moto,Nyanja_NNM_Spk5_U_fbd78a4b87_Utterance_1_725_750.wav,21.455
NNM,M,Spk5,U_fbd78a4b87,725_750,Nyanja_NNM_Spk5_U_fbd78a4b87_Utterance_2,kodi siabwino kopotsa analira jasper ali kuzikweza motheratu atateanadziwa mocitira,Nyanja_NNM_Spk5_U_fbd78a4b87_Utterance_2_725_750.wav,27.167
NNM,M,Spk5,U_fbd78a4b87,725_750,Nyanja_NNM_Spk5_U_fbd78a4b87_Utterance_3,indetu anali atapenya kumbali ndi colinga cosafuna kuoona,Nyanja_NNM_Spk5_U_fbd78a4b87_Utterance_3_725_750.wav,17.197
NNM,M,Spk5,U_fbd78a4b87,725_750,Nyanja_NNM_Spk5_U_fbd78a4b87_Utterance_4,ndizacita ciliconse cimene iwe ufuna kuti nkucitile bartley anatero monjenjemera,Nyanja_NNM_Spk5_U_fbd78a4b87_Utterance_4_725_750.wav,18.982
NNM,M,Spk5,U_fbd78a4b87,725_750,Nyanja_NNM_Spk5_U_fbd78a4b87_Utterance_5,sanaleke kuyenda mofulumira kufikira atapyeela mpaka ca kunyanja ndi pa malo amene apedzeka pa nyanja ocefdwa lo thonje inali patsogolo pache,Nyanja_NNM_Spk5_U_fbd78a4b87_Utterance_5_725_750.wav,19.58
NNM,M,Spk5,U_fbd78a4b87,725_750,Nyanja_NNM_Spk5_U_fbd78a4b87_Utterance_6,ku malo a mkhalidwe wa ku ulaya malo ano pa nthawi ino akupezeka pakati pa aja osauka,Nyanja_NNM_Spk5_U_fbd78a4b87_Utterance_6_725_750.wav,20.705
NNM,M,Spk5,U_fbd78a4b87,725_750,Nyanja_NNM_Spk5_U_fbd78a4b87_Utterance_7,iye anathamangira kumbali kumene kunali amuna ace nthawi imeneyo nawathandiza kucotsa ma ketulo anai pamoto,Nyanja_NNM_Spk5_U_fbd78a4b87_Utterance_7_725_750.wav,20.0
NNM,M,Spk5,U_fbd78a4b87,725_750,Nyanja_NNM_Spk5_U_fbd78a4b87_Utterance_8,kodi muzandisiya mcipinda cangaci ndekha kapena ndikusiyeni pofuna ku kuthawani,Nyanja_NNM_Spk5_U_fbd78a4b87_Utterance_8_725_750.wav,16.775
NNM,M,Spk5,U_fbd78a4b87,725_750,Nyanja_NNM_Spk5_U_fbd78a4b87_Utterance_9,ananditumila ma tsamba olembedwao asanafe,Nyanja_NNM_Spk5_U_fbd78a4b87_Utterance_9_725_750.wav,9.215
NNM,M,Spk5,U_fbd78a4b87,725_750,Nyanja_NNM_Spk5_U_fbd78a4b87_Utterance_10,ndikhulupilira mu kuphunzitsa anthu mofikapo mzungu kuno anatero mobvomeredzana naye ndi mtima onse,Nyanja_NNM_Spk5_U_fbd78a4b87_Utterance_10_725_750.wav,32.285
NNM,M,Spk5,U_fbd78a4b87,725_750,Nyanja_NNM_Spk5_U_fbd78a4b87_Utterance_11,nyuma ya malamulo ndi a scot (ena) anapeleka zoganiza zao kwa a mfumu,Nyanja_NNM_Spk5_U_fbd78a4b87_Utterance_11_725_750.wav,13.385
